"","TARGET","ORIG_TRG_STRT","ORIG_TRG_STOP","TARGET_START","TARGET_STOP","TARGET_TEXT","SOURCE","ORIG_SRC_STRT","ORIG_SRC_STOP","SOURCE_START","SOURCE_STOP","SOURCE_TEXT","TYPE","DIFFICULTY","SYMBOL","AUTH","TARGET_KEYS","SOURCE_KEYS","WORDS","SEMANTIC","SYNTACTIC","SOUNDS","TOPIC_CONTENT","TOPIC_CONTEXT","FLAG","NOTES","SECONDARY","ANNOTATOR","SOCIAL_CONTENT","BATTLE_CONTENT","TRAVEL_CONTENT","RITUAL_CONTENT","SPEECH_CONTENT","FAMILY_CONTENT","DESCRIPTION_CONTENT","FATE_CONTENT","SENTIMENT_CONTENT","CHARACTER_CONTENT","SOCIAL_CONTEXT","BATTLE_CONTEXT","TRAVEL_CONTEXT","RITUAL_CONTEXT","SPEECH_CONTEXT","FAMILY_CONTEXT","DESCRIPTION_CONTEXT","FATE_CONTEXT","SENTIMENT_CONTEXT","CHARACTER_CONTEXT","TARGET_LENGTH","SOURCE_LENGTH","SOUNDS_NUMERIC","SYNTACTIC_NUMERIC","TOTAL_CONTENT","TOTAL_CONTEXT"
"15","vergil.aeneid","1_210","1_215","1_210","1_215","Illi se praedae accingunt, -dapibus-que futuris;               210 tergora -deripiunt- costis et viscera nudant; -pars- in frusta -secant- -veribus-que trementia -figunt-; litore aena locant alii, flammasque ministrant. Tum victu revocant vires, fusique per herbam implentur veteris Bacchi pinguisque ferinae.","homer.iliad","7_316","7_322","7_316","7_322","τὸν -δέρον- ἀμφί θ᾽ ἕπον, καί μιν -διέχευαν- ἅπαντα, -μίστυλλόν- τ᾽ ἄρ᾽ ἐπισταμένως -πεῖράν- τ᾽ -ὀβελοῖσιν-, ὄπτησάν τε περιφραδέως, ἐρύσαντό τε πάντα. αὐτὰρ ἐπεὶ παύσαντο πόνου τετύκοντό τε -δαῖτα-, 320δαίνυντ᾽, οὐδέ τι θυμὸς ἐδεύετο -δαιτὸς- ἐΐσης: νώτοισιν δ᾽ Αἴαντα διηνεκέεσσι γέραιρεν ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων.",2,3,"| >","Knauer","","",NA,0,"","","social-intercourse_hospitality_meals","charactertype_hero, sentiment_happiness","","Are there many feasts or only one?","","James",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,0,0,2,4
"16","vergil.aeneid","1_93","1_93","1_93","1_93","-ingemit-, et duplicis -tendens- ad sidera -palmas-","homer.iliad","1_450","1_450","1_450","1_450","τοῖσιν δὲ Χρύσης μεγάλ᾽ -εὔχετο- -χεῖρας- -ἀνασχών-:",2,1,"b | [cf. – ]","Knauer","","",NA,0,"","","0","speeches-and-deliberation","","","","James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
"17","vergil.aeneid","1_187","1_187","1_187","1_187","Constitit hic, -arcum-que manu celerisque sagittas","homer.iliad","12_372","12_372","12_372","12_372","τοῖς δ᾽ ἅμα Πανδίων Τεύκρου φέρε καμπύλα -τόξα-.",2,1,"| []","Knauer","","",NA,0,"","","0","charactertype_hero","","","","James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2
"18","vergil.aeneid","1_17","1_17","1_17","1_17","hic -currus- fuit; hoc regnum dea gentibus esse,","homer.iliad","8_441","8_441","8_441","8_441","-ἅρματα- δ᾽ ἂμ βωμοῖσι τίθει κατὰ λῖτα πετάσσας:",2,1,"| [ cf. ]","Knauer","currus","ἁρματα",0,1,"","","charactertype_divine, description_object","charactertype_divine_specificindividual, fate_divineintervention","","","","James",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,3,1,1,0,0,4,5
"19","vergil.aeneid","1_100","1_100","1_100","1_100","Sarpedon, ubi tot Simois -correpta- sub -undis-","homer.iliad","21_11","21_11","21_11","21_11","ἔννεον ἔνθα καὶ ἔνθα -ἑλισσόμενοι- περὶ -δίνας-.",4,1,"f | [cf.]","Knauer","correpta, undis","ελισσομενοι, διωας",0,2,"","","charactertype_hero","charactertype_hero_specificindividual, fate_death, battle_catalogues-andor-obituaries","","","","James",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,3,1,1,0,0,2,7
"20","vergil.aeneid","1_412","1_412","1_412","1_412","et multo -nebulae- circum dea fudit amictu,","homer.iliad","15_308","15_308","15_308","15_308","εἱμένος ὤμοιιν -νεφέλην-,",3,2,"| [ a.]","Knauer","nebulae","νεφελην",NA,0,"","νεφ-neb, ελη-ela","social-intercourse_disguise, fate_divineintervention","charactertype_hero, charactertype_divine","","","","James",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,3,3
"21","vergil.aeneid","1_483","1_483","1_483","1_483","Ter circum Iliacos -raptaverat- Hectora muros,","homer.iliad","24_21","24_21","24_21","24_21","χρυσείῃ, ἵνα μή μιν ἀποδρύφοι -ἑλκυστάζων-.",3,1,"| [cf. ]","Knauer","rapterat","ελκυσταζων",0,1,"","","charactertype_hero_specificindividual","charactertype_hero_specificindividualsentiment_anger, sentiment_passion, fate_death, sentiment_sadness","","","","James",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,3,1,1,0,0,3,8
"22","vergil.aeneid","1_490","1_490","1_490","1_490","Ducit -Amazonidum- lunatis agmina peltis","homer.iliad","3_189","3_189","3_189","3_189","ἤματι τῷ ὅτε τ᾽ ἦλθον -Ἀμαζόνες- ἀντιάνειραι",4,2,"| [cf.]","Knauer","Amazonidum","Αμαζονες",0,1,"","","charactertype_hero_specificindividual","battle","","","","James",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1
"23","vergil.aeneid","1_501","1_501","1_501","1_501","fert -umero-, gradiensque deas -supereminet- omnis","homer.iliad","19_227","19_227","3_227","3_227","-ἔξοχος- Ἀργείων κεφαλήν τε καὶ εὐρέας -ὤμους;-",2,1,"b | []","Knauer","umeros, supereminet","ὤμους, ἔξοχος",0,2,"","","description_character","0","","","","James",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"24","vergil.aeneid","1_499","1_499","1_499","1_499","exercet Diana choros, quam mille secutae","homer.odyssey","6_105","6_105","6_105","6_105","τῇ δέ θ᾽ ἅμα νύμφαι, κοῦραι Διὸς αἰγιόχοιο,",5,1,"f | [cf. f]","Knauer","","",0,0,"","Dia-Διο, cho-κου, ros-ραι","description_character, charactertype_same-trade","charactertype_divine_specificindividual, charactertype_hero","","","","James",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,3,0,4,4
"25","vergil.aeneid","1_556","1_556","1_556","1_556","pontus habet Lybiae, nec spes iam restat Iuli,","homer.odyssey","11_301","11_301","11_301","11_301","τοὺς ἄμφω ζωοὺς κατέχει φυσίζοος αἶα:",2,2,"| []","Knauer","habet","κατεχει",0,1,"","","charactertype_hero, fate_death","","","","","James",0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0
"26","vergil.aeneid","1_546","1_546","1_546","1_547","Quem si fata virum servant, si vescitur aura -aetheria-","homer.iliad","13_837","13_837","13_837","13_837","ἠχὴ δ᾽ ἀμφοτέρων ἵκετ᾽ -αἰθέρα- καὶ Διὸς αὐγάς.",2,1,"bf | []","Knauer","aetheria","αιθερα",0,1,"","aeth-αιθ, era-ερα","","","","","","James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2.16666666666667,0,0,0
"27","vergil.aeneid","1_557","1_557","1_557","1_558","at freta Sicaniae saltem sedesque paratas, unde huc advecti, regemque petamus Acesten.'","homer.odyssey","7_151","7_151","7_151","7_151","αὐτὰρ ἐμοὶ πομπὴν ὀτρύνετε πατρίδ᾽ ἱκέσθαι",4,3,"f | cf. f","Knauer","","",0,0,"","","travel_by-sea, travel_departure, social-intercourse_supplication","charactertype_same-trade, charactertype_hero","","","","James",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,4,3
"28","vergil.aeneid","1_466","1_468","1_466","1_468","Namque -videbat-, uti bellantes Pergama circum hac fugerent -Graii-, -premeret- -Troiana- iuventus, hac -Phryges-, -instaret- curru cristatus Achilles.","homer.iliad","14_13","14_15","14_13","14_15","-στῆ- δ᾽ ἐκτὸς κλισίης, τάχα δ᾽ -εἴσιδεν- ἔργον ἀεικὲς τοὺς μὲν ὀρινομένους, τοὺς δὲ -κλονέοντας- ὄπισθε -Τρῶας- ὑπερθύμους: ἐρέριπτο δὲ τεῖχος -Ἀχαιῶν-.",5,1,"| cf.","Knauer","videbat, Graii, premeret, Troiana, Phyriges, instaret","στη, εισιδεν, κλονεοντας, Τρωας, Ἀχαιῶν",0,6,"","sta-στη, Tro-Τρο,","battle_trope","charactertype_hero","","","","James",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,2,2
"29","vergil.aeneid","1_559","1_560","1_559","1_560","Talibus Ilioneus; -cuncti- simul ore -fremebant- Dardanidae.","homer.iliad","1_22","1_22","1_22","1_22","ἔνθ᾽ ἄλλοι μὲν -πάντες- -ἐπευφήμησαν- Ἀχαιοὶ",2,2,"b-a | []","Knauer","cuncti, fremebant","παντες, επευφημησαν",0,2,"","","charactertype_same-trade","speeches-and-deliberation, social-intercourse_supplication","","corrected by knauer","","James",0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,2,2
"30","vergil.aeneid","1_502","1_502","1_502","1_502","Latonae tacitum pertemptant -gaudia- -pectus-","homer.iliad","14_156","14_156","14_156","14_156","αὐτοκασίγνητον καὶ δαέρα, -χαῖρε- δὲ -θυμῷ:-",2,1,"| []","Knauer","","",NA,0,"","","sentiment_happiness","charactertype_divine","","","","James",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2
"31","vergil.aeneid","1_579","1_579","1_579","1_579","His animum -arrecti- -dictis- et fortis Achates","homer.odyssey","7_329","7_329","7_329","7_329","ὣς -φάτο-, -γήθησεν- δὲ πολύτλας δῖος Ὀδυσσεύς",4,1,"","Knauer","-arrecti- -dictis-","-φάτο-, -γήθησεν-",0,2,"","","sentiment_happiness, charactertype_hero","social-intercourse_supplication, travel_by-sea","","","","James",0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,4,3
"32","vergil.aeneid","1_415","1_417","1_415","1_417","Ipsa Paphum sublimis -abit-, sedesque revisit laeta suas, ubi templum illi, centumque Sabaeo ture calent arae, sertisque recentibus halant.","homer.odyssey","7_78","7_81","7_78","7_81","ὣς ἄρα φωνήσασ' -ἀπέβη- γλαυκῶπις Ἀθήνη  πόντον ἐπ' ἀτρύγετον, λίπε δὲ Σχερίην ἐρατεινήν,  ἵκετο δ' ἐς Μαραθῶνα καὶ εὐρυάγυιαν Ἀθήνην,  δῦνε δ' Ἐρεχθῆος πυκινὸν δόμον.",5,1,"| a. (bold)","Knauer","","",0,0,"","","travel_by-air, travel_departure, charactertype_divine, description_place","travel_arrival, charactertype_hero","","","","James",0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,3,4,0,0,7,4
"33","vergil.aeneid","1_459","1_459","1_459","1_459","Constitit, et -lacrimans-, 'Quis iam locus' inquit 'Achate,","homer.iliad","6_484","6_484","6_484","6_484","-δακρυόεν- γελάσασα: πόσις δ᾽ ἐλέησε νοήσας,",2,1,"a | [ a. ]","Knauer","","",NA,0,"","","sentiment_sadness","charactertype_hero, sentiment_pride","","","","James",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,2,4
"34","vergil.aeneid","1_535","1_535","1_535","1_535","cum subito adsurgens fluctu nimbosus -Orion-","homer.iliad","1_257","1_257","1_257","1_257","εἰ σφῶϊν τάδε πάντα πυθοίατο μαρναμένοιϊν,",2,2,"| [cf. –  (m.)]","Knauer","","",NA,0,"","","speeches-and-deliberation_deliberation-andor-monolouge","charactertype_same-trade","","","","James",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2
"35","vergil.aeneid","1_427","1_427","1_427","1_427","hic -portus- alii effodiunt; hic alta theatris","homer.odyssey","7_43","7_43","7_43","7_43","θαύμαζεν δ' Ὀδυσεὺς -λιμένας- καὶ νῆας ἐίσας",3,1,"","Knauer","","",NA,0,"","","description_place","travel_arrival, travel_by-land, social-intercourse_disguise, charactertype_hero, fate_divineintervention, charactertype_divine","","","","James",0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,2,0,3,1,1,0,0,2,9
"36","vergil.aeneid","1_411","1_411","1_411","1_411","at Venus -obscuro- gradientes -aere- -saepsit-","homer.iliad","3_380","3_380","3_380","3_381","τὸν δ᾽ ἐξήρπαξ᾽ Ἀφροδίτη ῥεῖα μάλ᾽ ὥς τε θεός, -ἐκάλυψε- δ᾽ ἄρ᾽ -ἠέρι- πολλῇ,",4,1,"f. | [cf. bf.]","Knauer","","",NA,0,"","","social-intercourse_disguise, charactertype_hero, fate_divineintervention","charactertype_divine_specificindividual","","","","James",1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,5,3
"37","vergil.aeneid","1_535","1_538","1_535","1_538","cum subito -adsurgens- fluctu nimbosus Orion in vada caeca -tulit-, penitusque -procacibus austris- perque -undas-, -superante- -salo-, perque -invia- saxa -dispulit-; huc pauci vestris -adnavimus- -oris.-","homer.odyssey","7_270","7_276","7_270","7_276","ἦ γὰρ ἔμελλον ἔτι ξυνέσεσθαι ὀιζυῖ πολλῇ, τήν μοι -ἐπῶρσε- Ποσειδάων ἐνοσίχθων, ὅς μοι ἐφορμήσας ἀνέμους κατέδησε -κέλευθον-, -ὤρινεν- δὲ -θάλασσαν- ἀθέσφατον, οὐδέ τι -κῦμα- εἴα ἐπὶ σχεδίης ἁδινὰ στενάχοντα -φέρεσθαι- τὴν μὲν ἔπειτα -θύελλα- -διεσκέδασ-᾽: αὐτὰρ ἐγώ γε -νηχόμενος- τόδε λαῖτμα διέτμαγον, ὄφρα με -γαίῃ-",5,1,"| cf.","Knauer","","",NA,0,"","","charactertype_divine, description_weather, travel_by-sea, travel_in-progress, fate_divineintervention, charactertype_hero","description_place","","","","James",0,0,3,0,0,0,2,2,0,3,0,0,0,0,0,0,2,0,0,0,4,7,0,0,10,2
"38","vergil.aeneid","1_562","1_562","1_562","1_562","Solvite -corde- metum, Teucri, secludite -curas","homer.odyssey","7_309","7_309","7_309","7_310","ξεῖν᾽, οὔ μοι τοιοῦτον ἐνὶ στήθεσσι φίλον κῆρ μαψιδίως -κεχολῶσθαι-: ἀμείνω δ᾽ αἴσιμα πάντα.",4,1,"","Knauer","-corde-, -curas-","–κῆρ–, -κεχολῶσθαι-",0,2,"direct_address","cor-κῆρ","social-intercourse_hospitality_guest-arrival-andor-reception, speeches-and-deliberation_consolation, charactertype_same-trade","","","","","James",2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,0
"39","vergil.aeneid","1_252","1_252","1_252","1_252","prodimur atque Italis -longe- disiungimur oris.","homer.iliad","15_740","15_740","15_740","15_740","πόντῳ κεκλιμένοι -ἑκὰς- ἥμεθα πατρίδος αἴης:",2,1," | []","Knauer","longe","ἑκὰς",0,1,"","","speeches-and-deliberation","charactertype_hero","","","Iliad a speech about being kept from their homeland and about ship battle; Aeneid V. talking about ships destroyed and the people being kept from the shores of Italy","James",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2
"40","vergil.aeneid","1_254","1_254","1_254","1_254","Olli -subridens- hominum sator atque deorum,","homer.iliad","8_38","8_38","8_38","8_38","τὴν δ᾽ -ἐπιμειδήσας- προσέφη νεφεληγερέτα Ζεύς:",3,1," | cf. (bold)","Knauer","","",NA,0,"","","speeches-and-deliberation_consolation, charactertype_divine_specificindividual","charactertype_divine, speeches-and-deliberation_prophecy","","","","James",0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,1,1,0,0,5,4
"41","vergil.aeneid","1_242","1_242","1_242","1_242","-Antenor- potuit, mediis elapsus Achivis,","homer.iliad","7_347","7_354","7_347","7_354","τοῖσιν δ᾽ -Ἀντήνωρ- πεπνυμένος ἦρχ᾽ ἀγορεύειν: ‘κέκλυτέ μευ Τρῶες καὶ Δάρδανοι ἠδ᾽ ἐπίκουροι, ὄφρ᾽ εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει. 350δεῦτ᾽ ἄγετ᾽ Ἀργείην Ἑλένην καὶ κτήμαθ᾽ ἅμ᾽ αὐτῇ δώομεν Ἀτρεΐδῃσιν ἄγειν: νῦν δ᾽ ὅρκια πιστὰ ψευσάμενοι μαχόμεσθα: τὼ οὔ νύ τι κέρδιον ἡμῖν ἔλπομαι ἐκτελέεσθαι, ἵνα μὴ ῥέξομεν ὧδε.  ἤτοι ὅ γ᾽ ὣς εἰπὼν κατ᾽ ἄρ᾽ ἕζετο: τοῖσι δ᾽ ἀνέστη",4,2," | [cf.](N.]","Knauer","","",NA,0,"","","charactertype_hero_specificindividual, speeches-and-deliberation_persuasion","","","One of only two appearances of Antenor. This one hints at his willingness to cooperate (and thereby escape)","","James",0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,8,0,0,5,0
"42","vergil.aeneid","1_254","1_254","1_254","1_254","Olli -subridens- hominum sator atque deorum,","homer.iliad","7_212","7_212","7_212","7_212","-μειδιόων- βλοσυροῖσι προσώπασι: νέρθε δὲ ποσσὶν",2,1," | [ – ]","Knauer","","",NA,0,"","","sentiment_happiness","0","","","","James",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"43","vergil.aeneid","1_255","1_255","1_255","1_255","voltu, quo -caelum- tempestatesque serenat,","homer.iliad","17_649","17_649","17_649","17_649","αὐτίκα δ᾽ -ἠέρα- μὲν σκέδασεν καὶ ἀπῶσεν ὀμίχλην,",3,2," | []","Knauer","caelum","ἠερα",0,1,"","","charactertype_divine_specificindividual","description_weather","","Zues clearing the sky of clouds as a metaphor for changing his mind and taking pity on mortals.","","James",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,3,2
